Property_ID,Deal_ID,Address,City,State,Asset_Type,Allocated_Loan_Amount,Appraised_Value,Property_NOI,Cap_Rate
HRE-1000-P1,HRE-1000,296 Powell Street,Danielstad,TX,Medical Office,8100000,11400000,653141,0.0573
HRE-1001-P1,HRE-1001,693 Marissa Mews,Jasonfurt,WV,Life Science,8200000,12400000,697048,0.0562
HRE-1002-P1,HRE-1002,983 Bass Islands,South Christopherland,NY,Life Science,11450000,16850000,961922,0.0571
HRE-1002-P2,HRE-1002,947 Renee Fork,Erinmouth,MD,Life Science,550000,850000,50654,0.0596
HRE-1002-P3,HRE-1002,912 Christopher Bridge,North Elizabethmouth,NM,Life Science,30050000,44200000,2735942,0.0619
HRE-1003-P1,HRE-1003,203 Johnston Meadows,East Christophertown,AS,Skilled Nursing,16600000,25600000,1420146,0.0555
HRE-1004-P1,HRE-1004,871 Michael Canyon,North Gregoryberg,FL,Medical Office,10100000,15100000,969337,0.0642
HRE-1005-P1,HRE-1005,746 Raymond Lodge,Stokesmouth,NM,Senior Housing,19800000,33000000,1930108,0.0585
HRE-1006-P1,HRE-1006,811 Hudson Parks,West Nicholas,ID,Medical Office,4550000,7350000,444974,0.0605
HRE-1006-P2,HRE-1006,209 Flores Courts,South Jill,MO,Medical Office,3450000,5550000,324083,0.0584
HRE-1006-P3,HRE-1006,156 Mejia Fork,Kleinchester,GU,Medical Office,2650000,4250000,268784,0.0632
HRE-1006-P4,HRE-1006,351 Johnson Tunnel,East Katherine,WV,Medical Office,900000,1500000,92368,0.0616
HRE-1006-P5,HRE-1006,331 Robert Loaf,West Joshua,ID,Medical Office,1150000,1850000,112955,0.0611
HRE-1006-P6,HRE-1006,781 Ford Parkways,New Sara,NJ,Medical Office,4350000,7050000,414024,0.0587
HRE-1006-P7,HRE-1006,564 Jacob Squares,East Sarahmouth,OH,Medical Office,5300000,8500000,484847,0.057
HRE-1007-P1,HRE-1007,619 Stewart Island,Joshuafort,VA,Life Science,17200000,24900000,1519521,0.061
HRE-1008-P1,HRE-1008,126 Kelley Falls,South Brandon,UT,Skilled Nursing,5700000,8000000,475012,0.0594
HRE-1008-P2,HRE-1008,689 Alejandro Prairie,Port Kellyberg,OH,Skilled Nursing,5200000,7300000,410916,0.0563
HRE-1008-P3,HRE-1008,383 Marks Lodge,Annchester,RI,Skilled Nursing,12750000,17950000,1152067,0.0642
HRE-1009-P1,HRE-1009,990 Elizabeth Fords,New Dawn,NJ,Skilled Nursing,9700000,14200000,917967,0.0646
HRE-1010-P1,HRE-1010,485 Sandoval Lane,Kellystad,GU,Skilled Nursing,17500000,27400000,1627858,0.0594
HRE-1011-P1,HRE-1011,652 Cathy Circles,Stewartmouth,DC,Medical Office,3850000,6150000,350872,0.0571
HRE-1011-P2,HRE-1011,124 Obrien Valley,East Michael,AR,Medical Office,6400000,10150000,647809,0.0638
HRE-1011-P3,HRE-1011,198 Johnson Park,East Ianton,RI,Medical Office,4500000,7150000,428501,0.0599
HRE-1011-P4,HRE-1011,181 Joel Falls,Bowmanmouth,AS,Medical Office,200000,300000,16732,0.0558
HRE-1011-P5,HRE-1011,583 Sean Run,Debrafort,DC,Medical Office,9400000,14900000,954472,0.0641
HRE-1011-P6,HRE-1011,494 Benjamin Harbor,Greenview,OR,Medical Office,1100000,1700000,101823,0.0599
HRE-1011-P7,HRE-1011,168 Patrick Corner,Hectorview,RI,Medical Office,8100000,12850000,726884,0.0566
HRE-1012-P1,HRE-1012,391 Brandon Lodge,East Reginaton,VI,Skilled Nursing,24750000,37500000,2389286,0.0637
HRE-1012-P2,HRE-1012,889 Juan Spurs,Sawyerburgh,FL,Skilled Nursing,3350000,5050000,321303,0.0636
HRE-1012-P3,HRE-1012,685 Shaw Junction,Susanfort,AL,Skilled Nursing,1800000,2700000,168014,0.0622
HRE-1012-P4,HRE-1012,129 Conway Street,East Lisatown,NY,Skilled Nursing,1250000,1950000,110993,0.0569
HRE-1012-P5,HRE-1012,675 Alexandra Mount,Laurashire,KY,Skilled Nursing,13150000,19900000,1220585,0.0613
HRE-1012-P6,HRE-1012,819 Mark Inlet,Port Jesse,MO,Skilled Nursing,1450000,2250000,144693,0.0643
HRE-1012-P7,HRE-1012,758 Alexander Center,Patrickberg,VT,Skilled Nursing,1600000,2400000,135617,0.0565
HRE-1012-P8,HRE-1012,836 Spence Union,Port Ann,TX,Skilled Nursing,7650000,11600000,733087,0.0632
HRE-1013-P1,HRE-1013,114 Holt Port,North Robinburgh,CT,Medical Office,9300000,15200000,975311,0.0642
HRE-1014-P1,HRE-1014,402 Williams Fords,Rodriguezfurt,SD,Life Science,750000,1300000,76917,0.0592
HRE-1014-P2,HRE-1014,715 Knight Tunnel,Mathewsview,NJ,Life Science,550000,950000,60125,0.0633
HRE-1014-P3,HRE-1014,725 Stephanie Drives,Lake Davidville,DC,Life Science,7550000,12600000,726343,0.0576
HRE-1014-P4,HRE-1014,453 Kyle Street,Debbiechester,FM,Life Science,1350000,2250000,139371,0.0619
HRE-1014-P5,HRE-1014,561 Anderson Summit,Kellerland,ME,Life Science,5600000,9350000,552746,0.0591
HRE-1014-P6,HRE-1014,601 Isaac Meadows,New Lisafort,WV,Life Science,6500000,10800000,675584,0.0626
HRE-1014-P7,HRE-1014,894 Briggs Prairie,Carlside,AS,Life Science,1550000,2550000,159407,0.0625
HRE-1015-P1,HRE-1015,493 Michael Drive,Rubiochester,FL,Medical Office,3050000,4900000,302423,0.0617
HRE-1015-P2,HRE-1015,407 Roy Villages,North Emma,MO,Medical Office,800000,1300000,72492,0.0558
HRE-1015-P3,HRE-1015,528 Gonzalez Shore,East Steven,MH,Medical Office,10450000,16850000,1069725,0.0635
HRE-1015-P4,HRE-1015,636 Stokes Prairie,Andersonchester,IA,Medical Office,2150000,3500000,194311,0.0555
HRE-1015-P5,HRE-1015,793 Smith Island,Deanbury,UT,Medical Office,12750000,20600000,1293076,0.0628
HRE-1016-P1,HRE-1016,981 Kevin Motorway,Michaelton,MS,Life Science,9400000,14100000,857695,0.0608
HRE-1017-P1,HRE-1017,651 Pena Wells,Jonathanstad,RI,Senior Housing,9400000,14000000,797321,0.057
HRE-1018-P1,HRE-1018,340 Blankenship Expressway,Nguyenshire,GU,Medical Office,1050000,1550000,91410,0.059
HRE-1018-P2,HRE-1018,149 Hunt Lakes,Abigailport,AR,Medical Office,3250000,4850000,274740,0.0566
HRE-1018-P3,HRE-1018,584 Matthew Highway,North Ronaldmouth,MH,Medical Office,8050000,12000000,669216,0.0558
HRE-1018-P4,HRE-1018,427 Floyd Pine,North Amyland,FM,Medical Office,4750000,7100000,453267,0.0638
HRE-1018-P5,HRE-1018,132 Steven Groves,North Sheilaville,GA,Medical Office,1950000,2900000,159575,0.055
HRE-1018-P6,HRE-1018,553 Bush Parkways,South Jerryport,DC,Medical Office,950000,1400000,85842,0.0613
HRE-1018-P7,HRE-1018,369 James Run,West Staceyton,MH,Medical Office,5500000,8250000,517526,0.0627
HRE-1018-P8,HRE-1018,533 Amanda Circles,North Eric,NY,Medical Office,3300000,4950000,290601,0.0587
HRE-1019-P1,HRE-1019,754 Miller Mountain,Paulhaven,NJ,Medical Office,23100000,33500000,1885607,0.0563
HRE-1020-P1,HRE-1020,405 Craig Gardens,South Lisa,CO,Skilled Nursing,15200000,23700000,1329278,0.0561
HRE-1021-P1,HRE-1021,177 Marcus Lodge,West Nicole,SD,Skilled Nursing,5900000,9200000,558392,0.0607
HRE-1022-P1,HRE-1022,720 Harris Junction,Bishopmouth,OH,Medical Office,19400000,30350000,1708429,0.0563
HRE-1022-P2,HRE-1022,956 Smith Hill,South Dalton,VT,Medical Office,300000,500000,28652,0.0573
HRE-1022-P3,HRE-1022,842 Mary Bridge,Lake Sarahstad,DC,Medical Office,100000,200000,12784,0.0639
HRE-1022-P4,HRE-1022,394 Warren Pass,Leeberg,MI,Medical Office,7000000,11000000,710852,0.0646
HRE-1022-P5,HRE-1022,132 Steven Mountain,North Mary,FL,Medical Office,3350000,5250000,298732,0.0569
HRE-1023-P1,HRE-1023,641 Reyes Port,Waltersshire,WY,Medical Office,2800000,4250000,256755,0.0604
HRE-1023-P2,HRE-1023,996 James Mill,Port Gregoryberg,GU,Medical Office,15850000,23950000,1475764,0.0616
HRE-1023-P3,HRE-1023,322 Cabrera Station,Hoodmouth,NJ,Medical Office,11500000,17450000,1041834,0.0597
HRE-1023-P4,HRE-1023,666 Chase Center,Richardstad,CA,Medical Office,650000,950000,60024,0.0632
HRE-1024-P1,HRE-1024,930 Julian Mountains,Garciafort,AZ,Medical Office,7200000,11200000,658155,0.0588
HRE-1025-P1,HRE-1025,930 Wilkins Lodge,West Leahtown,NM,Medical Office,16200000,23200000,1474584,0.0636
HRE-1026-P1,HRE-1026,317 Matthew Stream,Coopermouth,ME,Medical Office,6500000,9100000,589896,0.0648
HRE-1027-P1,HRE-1027,411 Hubbard Islands,Seanview,DE,Senior Housing,9200000,14200000,810037,0.057
HRE-1028-P1,HRE-1028,194 Elizabeth Greens,New Allison,GU,Medical Office,12400000,17000000,1062546,0.0625
HRE-1029-P1,HRE-1029,348 Melendez Isle,Downsstad,PR,Senior Housing,15000000,22800000,1473746,0.0646
HRE-1030-P1,HRE-1030,747 Thomas Island,Andrealand,ID,Senior Housing,11600000,16300000,977699,0.06
HRE-1031-P1,HRE-1031,676 Michelle Way,Phillipsstad,IL,Medical Office,12600000,19700000,1196954,0.0608
HRE-1032-P1,HRE-1032,789 Reynolds Bridge,South Karentown,WY,Skilled Nursing,13100000,18500000,1062022,0.0574
HRE-1033-P1,HRE-1033,206 Nichols Isle,Port Felicia,IL,Senior Housing,11800000,18700000,1121086,0.06
HRE-1034-P1,HRE-1034,859 Calderon Radial,Ochoamouth,AS,Medical Office,8200000,12100000,784098,0.0648
HRE-1035-P1,HRE-1035,413 Smith Island,New Gloria,MP,Senior Housing,13700000,20400000,1282178,0.0629
HRE-1036-P1,HRE-1036,475 Raven Isle,West Christopher,GU,Senior Housing,9400000,13500000,743989,0.0551
HRE-1037-P1,HRE-1037,267 Melissa Fords,Vincentville,NC,Senior Housing,16100000,22700000,1265168,0.0557
HRE-1038-P1,HRE-1038,769 Dana Lights,Teresaborough,AS,Skilled Nursing,8600000,12900000,772800,0.0599
HRE-1039-P1,HRE-1039,954 Morgan Inlet,Port Amanda,NE,Medical Office,2150000,3650000,210993,0.0578
HRE-1039-P2,HRE-1039,156 Robert Circle,East Stacey,NJ,Medical Office,3200000,5450000,309480,0.0568
HRE-1039-P3,HRE-1039,598 Myers Court,West Micheletown,DC,Medical Office,150000,250000,14704,0.0588
HRE-1039-P4,HRE-1039,478 Angela Estates,Port Emily,PW,Medical Office,2700000,4600000,289693,0.063
HRE-1039-P5,HRE-1039,192 Ryan Port,Johnport,FM,Medical Office,1850000,3100000,178483,0.0576
HRE-1039-P6,HRE-1039,822 Gibson Ridge,Dunnburgh,VT,Medical Office,6150000,10400000,610242,0.0587
HRE-1040-P1,HRE-1040,983 Rose Light,Drakefort,VI,Life Science,7900000,12300000,701084,0.057
HRE-1041-P1,HRE-1041,415 Joel Rapid,Franklinstad,IN,Medical Office,4750000,6850000,377750,0.0551
HRE-1041-P2,HRE-1041,723 Lindsay Club,Williamside,OR,Medical Office,500000,700000,40211,0.0574
HRE-1041-P3,HRE-1041,768 Mark Streets,Mosleychester,MA,Medical Office,12200000,17700000,1140348,0.0644
HRE-1041-P4,HRE-1041,586 Kennedy Points,Lake Tony,IL,Medical Office,4350000,6300000,392083,0.0622
HRE-1041-P5,HRE-1041,931 Green Passage,Lake Kylieview,UT,Medical Office,2950000,4250000,240666,0.0566
HRE-1042-P1,HRE-1042,237 Kathryn Spurs,Ortizfurt,ME,Skilled Nursing,7900000,12100000,718805,0.0594
HRE-1043-P1,HRE-1043,858 Miranda Villages,Wrightview,VT,Skilled Nursing,10000000,14700000,930006,0.0633
HRE-1044-P1,HRE-1044,998 Ellis Island,Michaelchester,NE,Medical Office,9200000,12500000,769410,0.0616
HRE-1045-P1,HRE-1045,574 Joshua Passage,Robertshire,VI,Life Science,13100000,20400000,1252106,0.0614
HRE-1046-P1,HRE-1046,436 Moreno Landing,South Jacobberg,WI,Senior Housing,16300000,23600000,1485769,0.063
HRE-1047-P1,HRE-1047,799 Dustin Shores,Crystalberg,HI,Medical Office,15200000,22300000,1371860,0.0615
HRE-1048-P1,HRE-1048,286 Jessica Estate,New Chelseyshire,OR,Skilled Nursing,11900000,16500000,999103,0.0606
HRE-1049-P1,HRE-1049,301 Patricia Road,East Chad,OR,Life Science,8500000,12500000,766339,0.0613
HRE-1050-P1,HRE-1050,355 Shields Mountains,Mariastad,MO,Skilled Nursing,12100000,19800000,1231835,0.0622
HRE-1051-P1,HRE-1051,921 Oliver Mission,Sawyerport,SC,Skilled Nursing,8100000,11700000,684538,0.0585
HRE-1052-P1,HRE-1052,943 James Station,West Ashley,ND,Senior Housing,22200000,30900000,1785348,0.0578
HRE-1053-P1,HRE-1053,102 Gary Shore,Lake Melissa,ID,Skilled Nursing,11300000,17600000,1128049,0.0641
HRE-1054-P1,HRE-1054,596 Bryant Trace,Heatherport,UT,Skilled Nursing,10300000,15400000,872138,0.0566
HRE-1055-P1,HRE-1055,721 Cassandra Port,West David,WI,Life Science,18500000,26400000,1487559,0.0563
HRE-1056-P1,HRE-1056,266 Timothy Camp,Sweeneyside,OK,Skilled Nursing,7100000,10300000,609677,0.0592
HRE-1057-P1,HRE-1057,728 Karen Summit,Port Earl,KS,Life Science,17400000,27200000,1541090,0.0567
